REF_AREA_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,TIME_PERIOD,OBS_VALUE
Ecuador,Male,All age ranges or no breakdown by age,Total,2018,73.8988037109375
Ecuador,Total,25 years old and over,Total,2021,84.74073791503906
Ecuador,Total,15 to 24 years old,Total,2021,98.88655090332033
Ecuador,Total,All age ranges or no breakdown by age,Rural area,2021,68.63140106201172
Ecuador,Female,All age ranges or no breakdown by age,Total,2021,75.63489532470703
Ecuador,Total,25 years old and over,Total,2018,82.33875274658203
Ethiopia,Female,All age ranges or no breakdown by age,Total,2015,12.403470039367676
Ethiopia,Male,All age ranges or no breakdown by age,Total,2015,16.3889217376709
Ethiopia,Total,25 years old and over,Total,2015,15.622541427612305
Ethiopia,Total,All age ranges or no breakdown by age,Total,2015,14.361159324645996
Ethiopia,Total,15 to 29 years old,Total,2015,32.43719482421875
Ethiopia,Total,60 years old and over,Total,2015,3.081717014312744
Ethiopia,Total,All age ranges or no breakdown by age,Urban area,2015,42.959999084472656
Ethiopia,Total,All age ranges or no breakdown by age,Rural area,2015,7.287878513336182
Ethiopia,Total,15 to 24 years old,Total,2015,33.02957534790039
Ethiopia,Total,30 to 59 years old,Total,2015,13.705560684204102
North Macedonia,Male,All age ranges or no breakdown by age,Total,2020,97.14422607421876
North Macedonia,Total,15 to 24 years old,Total,2018,87.02151489257812
North Macedonia,Total,15 to 24 years old,Total,2020,89.1353988647461
North Macedonia,Total,All age ranges or no breakdown by age,Urban area,2020,96.83438873291016
North Macedonia,Total,All age ranges or no breakdown by age,Rural area,2018,95.47643280029295
North Macedonia,Total,All age ranges or no breakdown by age,Total,2020,96.29583740234376
North Macedonia,Total,All age ranges or no breakdown by age,Urban area,2018,97.06961822509766
North Macedonia,Total,30 to 59 years old,Total,2018,99.05259704589844
North Macedonia,Total,25 years old and over,Total,2020,97.33291625976562
North Macedonia,Male,All age ranges or no breakdown by age,Total,2018,97.02011108398438
North Macedonia,Total,15 to 29 years old,Total,2018,91.7513427734375
North Macedonia,Total,All age ranges or no breakdown by age,Total,2018,96.31741333007812
North Macedonia,Total,All age ranges or no breakdown by age,Rural area,2020,95.67073059082033
North Macedonia,Total,60 years old and over,Total,2018,94.7207489013672
North Macedonia,Total,15 to 29 years old,Total,2020,93.10145568847656
North Macedonia,Total,30 to 59 years old,Total,2020,98.54914855957033
North Macedonia,Female,All age ranges or no breakdown by age,Total,2018,95.61904907226562
North Macedonia,Total,60 years old and over,Total,2020,94.40660095214844
North Macedonia,Female,All age ranges or no breakdown by age,Total,2020,95.4531478881836
North Macedonia,Total,25 years old and over,Total,2018,97.80525970458984
Gabon,Total,15 to 29 years old,Total,2017,82.64446258544922
Gabon,Total,All age ranges or no breakdown by age,Rural area,2017,47.68365478515625
Gabon,Female,All age ranges or no breakdown by age,Total,2017,57.57248306274414
Gabon,Male,All age ranges or no breakdown by age,Total,2017,58.14111709594727
Gabon,Total,All age ranges or no breakdown by age,Total,2017,57.84570693969727
Gabon,Total,60 years old and over,Total,2017,38.72624588012695
Gabon,Total,30 to 59 years old,Total,2017,69.80541229248047
Gabon,Total,All age ranges or no breakdown by age,Urban area,2017,60.00776290893555
Gabon,Total,15 to 24 years old,Total,2017,83.34373474121094
Gabon,Total,25 years old and over,Total,2017,68.46426391601562
Georgia,Total,15 to 29 years old,Total,2018,99.40216064453124
Georgia,Total,15 to 24 years old,Total,2018,99.55241394042967
Georgia,Total,15 to 24 years old,Total,2021,99.64813232421876
Georgia,Total,60 years old and over,Total,2021,99.46434783935548
Georgia,Total,All age ranges or no breakdown by age,Rural area,2021,99.31266021728516
Georgia,Total,25 years old and over,Total,2018,99.24827575683594
Georgia,Total,15 to 29 years old,Total,2021,99.70458984375
Georgia,Male,All age ranges or no breakdown by age,Total,2021,99.6695556640625
Georgia,Total,All age ranges or no breakdown by age,Total,2021,99.6149673461914
Georgia,Female,All age ranges or no breakdown by age,Total,2021,99.56770324707033
Georgia,Total,All age ranges or no breakdown by age,Urban area,2018,99.56990051269533
Georgia,Total,All age ranges or no breakdown by age,Urban area,2021,99.81529998779295
Georgia,Total,25 years old and over,Total,2021,99.6102066040039
Georgia,Total,30 to 59 years old,Total,2018,99.4990005493164
Georgia,Total,30 to 59 years old,Total,2021,99.67469787597656
Georgia,Total,60 years old and over,Total,2018,98.82443237304688
Georgia,Total,All age ranges or no breakdown by age,Total,2018,99.2900390625
Georgia,Total,All age ranges or no breakdown by age,Rural area,2018,98.89290618896484
Georgia,Male,All age ranges or no breakdown by age,Total,2018,99.3914031982422
Georgia,Female,All age ranges or no breakdown by age,Total,2018,99.20372009277344
Ghana,Male,All age ranges or no breakdown by age,Total,2016,48.017913818359375
Ghana,Total,All age ranges or no breakdown by age,Urban area,2016,54.276554107666016
Ghana,Female,All age ranges or no breakdown by age,Total,2016,41.745338439941406
Ghana,Total,All age ranges or no breakdown by age,Total,2016,44.78585815429688
Ghana,Total,All age ranges or no breakdown by age,Rural area,2016,35.07410430908203
Ghana,Total,15 to 29 years old,Total,2016,78.91802215576172
Ghana,Total,15 to 24 years old,Total,2016,80.54087829589844
Ghana,Total,30 to 59 years old,Total,2016,63.74526596069336
Ghana,Total,25 years old and over,Total,2016,61.76368713378906
Ghana,Total,60 years old and over,Total,2016,40.967864990234375
Guinea,Total,30 to 59 years old,Total,2018,18.069488525390625
Guinea,Female,All age ranges or no breakdown by age,Total,2018,11.16141414642334
Guinea,Male,All age ranges or no breakdown by age,Total,2018,19.776824951171875
Guinea,Total,15 to 24 years old,Total,2018,35.58116149902344
Guinea,Total,All age ranges or no breakdown by age,Rural area,2018,6.272511959075928
Guinea,Total,60 years old and over,Total,2018,9.294394493103027
Guinea,Total,All age ranges or no breakdown by age,Total,2018,15.220657348632812
Guinea,Total,All age ranges or no breakdown by age,Urban area,2018,31.334766387939453
Guinea,Total,25 years old and over,Total,2018,18.552227020263672
Guinea,Total,15 to 29 years old,Total,2018,32.84114456176758
Guinea-Bissau,Total,60 years old and over,Total,2018,6.314760208129883
Guinea-Bissau,Total,All age ranges or no breakdown by age,Urban area,2018,38.32535171508789
Guinea-Bissau,Male,All age ranges or no breakdown by age,Total,2018,26.37330818176269
Guinea-Bissau,Female,All age ranges or no breakdown by age,Total,2018,17.707199096679688
Guinea-Bissau,Total,All age ranges or no breakdown by age,Rural area,2018,9.07744026184082
Guinea-Bissau,Total,30 to 59 years old,Total,2018,28.182109832763672
Guinea-Bissau,Total,All age ranges or no breakdown by age,Total,2018,21.82310676574707
Guinea-Bissau,Total,15 to 24 years old,Total,2018,44.78404998779297
Guinea-Bissau,Total,25 years old and over,Total,2018,29.37081718444824
Guinea-Bissau,Total,15 to 29 years old,Total,2018,44.95700454711914
Indonesia,Female,All age ranges or no breakdown by age,Total,2018,67.858154296875
Indonesia,Male,All age ranges or no breakdown by age,Total,2018,71.48734283447266
Indonesia,Total,All age ranges or no breakdown by age,Rural area,2018,64.05648040771484
Indonesia,Total,All age ranges or no breakdown by age,Rural area,2022,83.97042083740234
